Player,Team,RAPM over replacement,Possesions,Net Points,Wins Added,Production Value (Millions),AAV,Net Value
Ryan Kalkbrenner,CHA,1.6,3042,48.672,1.4976,5.69088,2.3,3.39088
Grant Williams,CHA,6.3,1441,90.783,2.793323077,10.61462769,13.65,-3.035372308
Coby White,CHA,2.7,2582,69.714,2.145046154,8.151175385,12.89,-4.738824615
Josh Green,CHA,2.9,1794,52.026,1.6008,6.08304,13.67,-7.58696
Josh Giddey,CHI,3.2,3693,118.176,3.636184615,13.81750154,25,-11.18249846
Matas Buzelis,CHI,0.6,4765,28.59,0.8796923077,3.342830769,5.5,-2.157169231
Anfernee Simons,CHI,0.6,2736,16.416,0.5051076923,1.919409231,27.68,-25.76059077
Tre Jones,CHI,2,3791,75.82,2.332923077,8.865107692,8,0.8651076923
Isaac Okoro,CHI,2.8,3568,99.904,3.073969231,11.68108308,11,0.6810830769
Collin Sexton,CHI,0.5,3384,16.92,0.5206153846,1.978338462,19.18,-17.20166154
Guerschon Yabusele,CHI,2.2,2110,46.42,1.428307692,5.427569231,5.5,-0.07243076923
Leonard Miller,CHI,3.3,1555,51.315,1.578923077,5.999907692,2.22,3.779907692
Nick Richards,CHI,-0.8,1455,-11.64,-0.3581538462,-1.360984615,5,-6.360984615
Rob Dillingham,CHI,0.5,2088,10.44,0.3212307692,1.220676923,6.58,-5.359323077
James Harden,CLE,1.3,4929,64.077,1.9716,7.49208,39.45,-31.95792
Donovan Mitchell,CLE,6.3,4905,309.015,9.508153846,36.13098462,46.39,-10.25901538
Evan Mobley,CLE,6.5,4278,278.07,8.556,32.5128,46.39,-13.8772
Jarrett Allen,CLE,6.6,3180,209.88,6.457846154,24.53981538,20,4.539815385
Jaylon Tyson,CLE,1.3,3677,47.801,1.4708,5.58904,3.49,2.09904
Sam Merrill,CLE,5.6,2870,160.72,4.945230769,18.79187692,8.48,10.31187692
Keon Ellis,CLE,3.1,3022,93.682,2.882523077,10.95358769,2.3,8.653587692
Max Strus,CLE,3.5,605,21.175,0.6515384615,2.475846154,15.94,-13.46415385
Dean Wade,CLE,5,2708,135.4,4.166153846,15.83138462,6.62,9.211384615
Dennis Schroder,CLE,1.9,3464,65.816,2.025107692,7.695409231,14.1,-6.404590769
Cooper Flagg,DAL,1.9,4917,93.423,2.874553846,10.92330462,13.83,-2.906695385
PJ Washington,DAL,3.2,3663,117.216,3.606646154,13.70525538,14.15,-0.4447446154
Naji Marshall,DAL,1.7,4634,78.778,2.423938462,9.210966154,9,0.2109661538
Max Christie,DAL,1.4,4708,65.912,2.028061538,7.706633846,7.71,-0.003366153846
Brandon Williams,DAL,2.4,3147,75.528,2.323938462,8.830966154,2.27,6.560966154
Daniel Gafford,DAL,3,2507,75.21,2.314153846,8.793784615,14.39,-5.596215385
Klay Thompson,DAL,0.7,3228,22.596,0.6952615385,2.641993846,16.67,-14.02800615
Marvin Bagley III,DAL,2.2,2520,55.44,1.705846154,6.482215385,2.3,4.182215385
Khris Middleton,DAL,1.6,3047,48.752,1.500061538,5.700233846,35.09,-29.38976615
Ryan Nembhard,DAL,4,2422,96.88,2.980923077,11.32750769,0.32,11.00750769
Jamal Murray,DEN,5.6,5446,304.976,9.383876923,35.65873231,46.39,-10.73126769
Nikola Jokic,DEN,10.4,4787,497.848,15.3184,58.20992,55.22,2.98992
Christian Braun,DEN,5.2,2908,151.216,4.6528,17.68064,4.92,12.76064
Cam Johnson,DEN,5,3414,170.7,5.252307692,19.95876923,21.06,-1.101230769
Peyton Watson,DEN,2.3,3255,74.865,2.303538462,8.753446154,4.36,4.393446154
Aaron Gordon,DEN,6,2056,123.36,3.795692308,14.42363077,22.84,-8.416369231
Tim Hardaway Jr,DEN,1.5,4394,65.91,2.028,7.7064,2.3,5.4064
Bruce Brown,DEN,-1,4060,-40.6,-1.249230769,-4.747076923,2.3,-7.047076923
Spencer Jones,DEN,1.9,2854,54.226,1.668492308,6.340270769,0.62,5.720270769
Jalen Pickett,DEN,1.6,1615,25.84,0.7950769231,3.021292308,2.22,0.8012923077
Cade Cunningham,DET,6.6,4486,296.076,9.110030769,34.61811692,46.39,-11.77188308
Jalen Duren,DET,2.7,4075,110.025,3.385384615,12.86446154,6.48,6.384461538
Tobias Harris,DET,5.3,3605,191.065,5.878923077,22.33990769,26.63,-4.290092308
Duncan Robinson,DET,4.5,4391,197.595,6.079846154,23.10341538,16.83,6.273415385
Ausar Thompson,DET,6.3,3859,243.117,7.480523077,28.42598769,8.78,19.64598769
Isaiah Stewart,DET,1,2694,26.94,0.8289230769,3.149907692,15,-11.85009231
Kevin Huerter,DET,4.6,3256,149.776,4.608492308,17.51227077,17.99,-0.4777292308
Daniss Jenkins,DET,3.3,3005,99.165,3.051230769,11.59467692,3.81,7.784676923
Ron Holland,DET,2.1,3190,66.99,2.061230769,7.832676923,8.66,-0.8273230769
Caris LeVert,DET,2.8,2367,66.276,2.039261538,7.749193846,14.1,-6.350806154
Jimmy Butler,GSW,5.6,2439,136.584,4.202584615,15.96982154,54.13,-38.16017846
Steph Curry,GSW,6.4,2819,180.416,5.551261538,21.09479385,59.61,-38.51520615
Brandin Podziemski,GSW,4.1,4805,197.005,6.061692308,23.03443077,3.69,19.34443077
Draymond Green,GSW,2.7,3845,103.815,3.194307692,12.13836923,25.89,-13.75163077
Moses Moody,GSW,3.2,3210,102.72,3.160615385,12.01033846,11.57,0.4403384615
Kristaps Porzingis,GSW,1.7,1605,27.285,0.8395384615,3.190246154,30.73,-27.53975385
DeAnthony Melton,GSW,4.7,2307,108.429,3.336276923,12.67785231,3.08,9.597852308
Al Horford,GSW,4.2,1997,83.874,2.580738462,9.806806154,5.69,4.116806154
Gui Santos,GSW,5.3,2836,150.308,4.624861538,17.57447385,2.22,15.35447385
Will Richard,GSW,1,2856,28.56,0.8787692308,3.339323077,1.27,2.069323077
Amen Thompson,HOU,6.2,5880,364.56,11.21723077,42.62547692,9.69,32.93547692
Kevin Durant,HOU,3.4,5727,194.718,5.991323077,22.76702769,54.71,-31.94297231
Jabari Smith Jr,HOU,4.6,5377,247.342,7.610523077,28.91998769,12.35,16.56998769
Alperen Sengun,HOU,3.8,4788,181.944,5.598276923,21.27345231,33.94,-12.66654769
Reed Sheppard,HOU,0.1,4349,4.349,0.1338153846,0.5084984615,10.6,-10.09150154
Tari Eason,HOU,4.9,3096,151.704,4.667815385,17.73769846,5.68,12.05769846
Steven Adams,HOU,6.5,1459,94.835,2.918,11.0884,14.13,-3.0416
Josh Okogie,HOU,3.5,2641,92.435,2.844153846,10.80778462,2.3,8.507784615
Dorian Finney-Smith,HOU,6,1244,74.64,2.296615385,8.727138462,12.7,-3.972861538
Aaron Holiday,HOU,4,1562,62.48,1.922461538,7.305353846,2.3,5.005353846
Pascal Siakam,IND,6.9,4314,297.666,9.158953846,34.80402462,45.55,-10.74597538
Andrew Nembhard,IND,1.8,3728,67.104,2.064738462,7.846006154,18.1,-10.25399385
Aaron Nesmith,IND,5.8,2808,162.864,5.0112,19.04256,11,8.04256
Jarace Walker,IND,-2.9,4139,-120.031,-3.693261538,-14.03439385,6.67,-20.70439385
Kobe Brown,IND,-1.4,1954,-27.356,-0.8417230769,-3.198547692,2.65,-5.848547692
Ivica Zubac,IND,5.6,2898,162.288,4.993476923,18.97521231,18.89,0.08521230769
Ben Sheppard,IND,1,2931,29.31,0.9018461538,3.427015385,2.79,0.6370153846
Jay Huff,IND,0.3,3595,10.785,0.3318461538,1.261015385,2.35,-1.088984615
Ethan Thompson,IND,3,1352,40.56,1.248,4.7424,0.6,4.1424
Micah Potter,IND,1.8,1946,35.028,1.077784615,4.095581538,1.53,2.565581538
Kawhi Leonard,LAC,8.4,4158,349.272,10.74683077,40.83795692,50,-9.162043077
Darius Garland,LAC,2.5,2803,70.075,2.156153846,8.193384615,39.45,-31.25661538
Bennedict Mathurin,LAC,1.6,3342,53.472,1.645292308,6.252110769,9.19,-2.937889231
Kris Dunn,LAC,4.1,4454,182.614,5.618892308,21.35179077,5.43,15.92179077
John Collins,LAC,3.2,3759,120.288,3.701169231,14.06444308,26.58,-12.51555692
Derrick Jones Jr,LAC,5.2,2736,142.272,4.3776,16.63488,10,6.63488
Jordan Miller,LAC,1.5,2646,39.69,1.221230769,4.640676923,0.71,3.930676923
Brook Lopez,LAC,3.6,3252,117.072,3.602215385,13.68841846,8.75,4.938418462
Kobe Sanders,LAC,2.5,2740,68.5,2.107692308,8.009230769,0.48,7.529230769
Bogdan Bogdanovic,LAC,2.5,886,22.15,0.6815384615,2.589846154,16.02,-13.43015385
Luka Doncic,LAL,6.4,4747,303.808,9.347938462,35.52216615,46,-10.47783385
Austin Reaves,LAL,5.8,3613,209.554,6.447815385,24.50169846,13.94,10.56169846
LeBron James,LAL,0.7,4055,28.385,0.8733846154,3.318861538,52.63,-49.31113846
Marcus Smart,LAL,7.4,3610,267.14,8.219692308,31.23483077,5.13,26.10483077
Rui Hachimura,LAL,4.2,3979,167.118,5.142092308,19.53995077,18.26,1.279950769
DeAndre Ayton,LAL,0,3996,0,0,0,8.1,-8.1
Jake LaRavia,LAL,3.3,4217,139.161,4.281876923,16.27113231,6,10.27113231
Luke Kennard,LAL,3.2,3474,111.168,3.420553846,12.99810462,11,1.998104615
Jaxson Hayes,LAL,2.3,2467,56.741,1.745876923,6.634332308,3.45,3.184332308
Jarred Vanderbilt,LAL,3.3,2296,75.768,2.331323077,8.859027692,11.57,-2.710972308
Rayan Rupert,MEM,-3.5,2240,-78.4,-2.412307692,-9.166769231,0.6,-9.766769231
Ja Morant,MEM,4.1,1228,50.348,1.549169231,5.886843077,39.45,-33.56315692
Santi Aldama,MEM,2.9,2537,73.573,2.263784615,8.602381538,18.49,-9.887618462
Jaylen Wells,MEM,2.5,3775,94.375,2.903846154,11.03461538,1.96,9.074615385
Zach Edey,MEM,5.2,589,30.628,0.9424,3.58112,6.05,-2.46888
Cedric Coward,MEM,4.5,3377,151.965,4.675846154,17.76821538,5.72,12.04821538
Walter Clayton Jr,MEM,0.9,2971,26.739,0.8227384615,3.126406154,3.99,-0.8635938462
Taylor Hendricks,MEM,1.2,2331,27.972,0.8606769231,3.270572308,6.13,-2.859427692
Cam Spencer,MEM,2.6,3556,92.456,2.8448,10.81024,2.54,8.27024
Ty Jerome,MEM,5.3,684,36.252,1.115446154,4.238695385,8.78,-4.541304615
Bam Adebayo,MIA,6.3,5024,316.512,9.738830769,37.00755692,37.1,-0.09244307692
Tyler Herro,MIA,1.6,2183,34.928,1.074707692,4.083889231,31,-26.91611077
